rox, pr, 20130831101
ttd, cascade, 20130831101
ttd, rox, 20130831200
pr, cascade, 20130831101
pr, rox, 20130831201
ttd, pr, 20130831300
ttd, pr, 20130831300
empire, pr, 20131116101
empire, pr, 20131116101
navi, vp, 20131116101
navi, vp, 20131116101
empire, navi, 20131116200
empire, navi, 20131116200
navi, empire, 20131116200
pr, vp, 20131116101
pr, vp, 20131116101
vp, pr, 20131116101
navi, pr, 20131116201
navi, pr, 20131116201
pr, navi, 20131116201
empire, navi, 20131116300
navi, empire, 20131116300
navi, empire, 20131116300
iccup, vp, 20130323101
empire, navi, 20130323101
empire, iccup, 20130323200
navi, vp, 20130323101
iccup, navi, 20130323201
empire, iccup, 20130323300
empire, iccup, 20130323300
iccup, empire, 20130323300
navi, cascade, 20130928101
navi, cascade, 20130928101
pr, quantic, 20130928101
pr, quantic, 20130928101
quantic, pr, 20130928101
navi, pr, 20130928200
navi, pr, 20130928200
cascade, quantic, 20130928201
cascade, quantic, 20130928201
quantic, cascade, 20130928201
sk , mouz , 20120411101
mouz , sk , 20120411101
m5, empire, 20120411101
empire, m5, 20120411101
mtw, infused, 20120411101
clg, sk , 20120411101
sk , clg, 20120411101
m5 , mouz , 20120411200
empire , mtw , 20120411200
mtw , empire , 20120411200
m5 , empire , 20120411300
m5 , empire , 20120411300
empire , m5 , 20120411300
mtw , m5 , 20120411300
mtw , m5 , 20120411300
m5 , mtw , 20120411300
m5 , mtw , 20120411300
pr  , mtw , 20120909400
quantic  , infused  , 20120909101
infused  , quantic  , 20120909101
cnb, pr, 20120909101
znation, pr  , 20120909101
quantic  , infused  , 20120909200
cnb  , znation  , 20120909200
quantic  , cnb  , 20120909300
cnb  , quantic  , 20120909300
quantic  , cnb  , 20120909400
quantic  , cnb  , 20120909400
skane  , quantic  , 20120923101
quantic  , skane  , 20120923101
clg  , kaipi  , 20120923101
kaipi  , clg  , 20120923101
mym, gl, 20120923101
quantic  , skane  , 20120923200
kaipi  , clg  , 20120923200
mym  , quantic  , 20120923200
quantic  , mym  , 20120923200
quantic  , cnb  , 20121207400
quantic  , cnb  , 20121207400
cnb  , quantic  , 20121207400
swyc  , zero  , 20121207101
wha, rigg3d, 20121207101
swyc  , cnb  , 20121207200
wha  , swyc  , 20121207200
wha  , wha  , 20121207300
wha  , wha  , 20121207300
wha  , wha  , 20121207300
wha, eclypsia, 20121021101
eclypsia, wha, 20121021101
kaipi, elpride, 20121021101
elpride, kaipi, 20121021101
