rox,power rangers,20130831101
terrible terrible damage, cascade,20130831101
terrible terrible damage,rox,20130831200
power rangers, cascade,20130831101
power rangers,rox,20130831201
terrible terrible damage,power rangers,20130831300
terrible terrible damage,power rangers,20130831300
team empire,power rangers,20130831101
team empire,power rangers,20130831101
natus vincere,virtus.pro,20130831101
natus vincere,virtus.pro,20130831101
team empire,natus vincere,20130831200
team empire,natus vincere,20130831200
natus vincere,team empire,20130831200
power rangers,virtus.pro,20130831101
power rangers,virtus.pro,20130831101
virtus.pro,power rangers,20130831101
natus vincere,power rangers,20130831201
natus vincere,power rangers,20130831201
power rangers,natus vincere,20130831201
team empire,natus vincere,20130831300
natus vincere,team empire,20130831300
natus vincere,team empire,20130831300
iccup,virtus.pro,20130323101
team empire,natus vincere,20130323101
team empire,iccup,20130323200
natus vincere,virtus.pro,20130323101
iccup,natus vincere,20130323201
team empire,iccup,20130323300
team empire,iccup,20130323300
iccup,team empire,20130323300
natus vincere, cascade,20130928101
natus vincere, cascade,20130928101
power rangers,ice climbers,20130928101
power rangers,ice climbers,20130928101
ice climbers,power rangers,20130928101
natus vincere,power rangers,20130928200
natus vincere,power rangers,20130928200
cascade,ice climbers,20130928201
cascade,ice climbers,20130928201
ice climbers, cascade,20130928201
sk gaming,mousesports,20120411101
mousesports,sk gaming,20120411101
moscow five,team empire,20120411101
team empire,moscow five,20120411101
mortal team work,infinity,20120411101
counter logic gaming,sk gaming,20120411101
sk gaming,counter logic gaming,20120411101
moscow five,mousesports,20120411200
team empire,mortal team work,20120411200
mortal team work,team empire,20120411200
moscow five,team empire,20120411300
moscow five,team empire,20120411300
team empire,moscow five,20120411300
mortal team work,moscow five,20120411300
mortal team work,moscow five,20120411300
moscow five,mortal team work,20120411300
moscow five,mortal team work,20120411300
power rangers,mortal team work,20120411400
ice climbers,infinity,20120411101
infinity,ice climbers,20120411101
cnb,power rangers,20120411101
znation,power rangers,20120411101
ice climbers,infinity,20120411200
cnb,znation,20120411200
ice climbers,cnb,20120411300
cnb,ice climbers,20120411300
ice climbers,cnb,20120411400
ice climbers,cnb,20120411400
sk gaming,ice climbers,20120411101
ice climbers,sk gaming,20120411101
counter logic gaming, kaipi  ,20120411101
kaipi  ,counter logic gaming,20120411101
meet your makers,gamersleague,20120411101
ice climbers,sk gaming,20120411200
kaipi  ,counter logic gaming,20120411200
meet your makers,ice climbers,20120411200
ice climbers,meet your makers,20120411200
ice climbers,cnb,20120411400
ice climbers,cnb,20120411400
cnb,ice climbers,20120411400
swyc,zero,20120411101
we haz asian,gosugamers,20120411101
swyc,cnb,20120411200
we haz asian,swyc,20120411200
we haz asian,we haz asian,20120411300
we haz asian,we haz asian,20120411300
we haz asian,we haz asian,20120411300
we haz asian,eclypsia,20120411101
eclypsia,we haz asian,20120411101
kaipi,power rangers,20120411101
power rangers, kaipi,20120411101
kaipi,eclypsia,20120411200
power rangers, kaipi,20120411200
kaipi,power rangers,20120411200
kaipi,power rangers,20120411300
kaipi,power rangers,20120411300
power rangers,freedom of the action,20120411101
freedom of the action,power rangers,20120411101
we haz asian,dts gaming,20120411101
power rangers,iccup,20120411101
iccup,power rangers,20120411101
power rangers,freedom of the action,20120411200
freedom of the action,power rangers,20120411200
we haz asian,power rangers,20120411200
iccup,power rangers,20120411200
freedom of the action,we haz asian,20120411300
we haz asian,freedom of the action,20120411300
we haz asian,freedom of the action,20120411400
we haz asian,freedom of the action,20120411400
rox,oot,20121118101
nex ,power rangers,20121118101
next.kz, kaipi ,20121118101
hwa,4 friends chrillee,20121118101
rox, nex ,20121118200
nex ,rox,20121118200
next.kz,hwa,20121118200
nex ,rox,20121118300
nex ,next.kz,20121118300
