2013 Techlabs Cup/August, 
2013 Techlabs Cup/Finals, 
2013 Techlabs Cup/March, 
2013 Techlabs Cup/May, 
2013 Techlabs Cup/September, 
2013 WPC ACE Dota 2 League, 
4PL Play4Dota2, 
4PL Play4Dota2/2012/1, 
4PL Play4Dota2/2012/10, 
4PL Play4Dota2/2012/11, 
4PL Play4Dota2/2012/12, 
4PL Play4Dota2/2012/13, 
4PL Play4Dota2/2012/14, 
4PL Play4Dota2/2012/15, 
4PL Play4Dota2/2012/16, 
4PL Play4Dota2/2012/17, 
4PL Play4Dota2/2012/18, 
4PL Play4Dota2/2012/2, 
4PL Play4Dota2/2012/3, 
4PL Play4Dota2/2012/4, 
4PL Play4Dota2/2012/5, 
4PL Play4Dota2/2012/6, 
4PL Play4Dota2/2012/7, 
4PL Play4Dota2/2012/8, 
4PL Play4Dota2/2012/9, 
4PL Play4Dota2/2013/1, 
4PL Play4Dota2/2013/2, 
4PL Play4Dota2/2013/3, 
4PL Play4Dota2/2013/4, 
4PL Play4Dota2/2013/5, 
4PL Play4Dota2/2013/6, 
4PL Play4Dota2/2013/7, 
4PL Play4Dota2/2013/8, 
4PL Play4Dota2/Staff/2012/1, 
4PL Play4Dota2/Staff/2013/1, 
A Fistful of Tangoes, 
Adorits/Tt eSPORTS Dota 2 Weekly/3, 
Alienware 2012 Battlegrounds, 
Alienware Arena NA Winter Season Invitational, 
Alienware Cup, 
AMD Premier League/Season 1, 
AMD Premier League/Season 2, 
American Dota League, 
Arena LAN*Fest 2013 Winter Dota 2 Open, 
Armaggeddon Dota2 Grand Slam Asia Finals, 
Asian Cyber Games 2013, 
ASUS Open 2012, 
ASUS Open 2012/Spring Cup, 
ASUS Open 2012/Summer Cup, 
AtoD Showdown/2, 
AtoD Showdown/3, 
AVerMedia Dota 2 Cup, 
BeyondTheSummit Weekend Cup, 
BeyondTheSummit World Tour, 
Bigpoint Battle, 
Bigpoint Battle/1, 
Bigpoint Battle/10, 
Bigpoint Battle/11, 
Bigpoint Battle/2, 
Bigpoint Battle/3, 
Bigpoint Battle/4, 
Bigpoint Battle/5, 
Bigpoint Battle/6, 
Bigpoint Battle/7, 
Bigpoint Battle/8, 
Bigpoint Battle/9, 
CDL Open, 
CEVO Season 4, 
CIS Carnage 2014, 
Collegiate Dotaleague, 
Corsair Gaming Summer Dota 2 Tournament 2013, 
Curse Dota 2 Invitational, 
D2R Team League/Season 1, 
Defense of the Australians Spring 2013, 
Defense of the Australians Summer 2014, 
Dota 2 Canada Cup Season 2, 
Dota 2 Champions League, 
Dota 2 Ireland Season 1, 
Dota 2 League/Season 4, 
Dota 2 LostWorld Cup/1, 
Dota 2 Super League, 
Dota 2 Winter Open, 
Dota League Code A, 
Dota2 Star Championship, 
Dota2Replays Brawl, 
DotaBro Brotournament 1, 
DotaCinema Rosh Pit, 
DotaHut Invitational, 
DreamHack 2011/Winter, 
DreamHack 2012/Summer, 
DreamHack 2012/Valencia, 
DreamHack 2012/Winter, 
DreamHack 2013/Invitational, 
DreamHack 2013/Summer, 
DreamHack 2013/Summer/Qualifiers, 
DreamLeague/Kick-Off Season, 
User:Dubzex/Dhd2inv, 
User:Dubzex/g1-2013, 
E-Sports Prime Dota 2 Cup, 
E2MAX L33t Championship, 
ECL 2013/Finals, 
ECL 2013/Season, 
EIZO Cup, 
EIZO Cup/1, 
EIZO Cup/10, 
EIZO Cup/2, 
EIZO Cup/3, 
EIZO Cup/4, 
EIZO Cup/5, 
EIZO Cup/6, 
EIZO Cup/7, 
EIZO Cup/8, 
EIZO Cup/9, 
Elbster-Cup, 
Electronic Sports World Cup, 
Electronic Sports World Cup 2011, 
Electronic Sports World Cup 2012, 
Electronic Sports World Cup 2013, 
ESL Major Series One/Fall/Americas, 
ESL Major Series One/Fall/Cup 1, 
ESL Major Series One/Fall/Cup 2, 
ESL Major Series One/Fall/Cup 3, 
ESL Major Series One/Fall/Cup 4, 
ESL Major Series One/Fall/Main Event, 
ESL Major Series One/Spring/Cup 1, 
ESL Major Series One/Spring/Cup 2, 
ESL Major Series One/Spring/Cup 3, 
ESL Major Series One/Spring/Cup 4, 
ESL Major Series One/Spring/Main Event, 
ESL Major Series One/Summer/Cup 1, 
ESL Major Series One/Summer/Cup 2, 
ESL Major Series One/Summer/Cup 3, 
ESL Major Series One/Summer/Cup 4, 
ESL Major Series One/Summer/Main Event, 
ESPL, 
ESPL Season 1, 
Fan4fan, 
Fan4fan/3, 
Fan4fan/4, 
User:Fanatical, 
User:Fanatical/Sandbox 4pl, 
Fengyun Dota 2 Tournament, 
Fomos Dota2 League/Season 1/Major, 
Fomos Dota2 League/Season 1/Minor, 
Fomos Dota2 League/Season 2, 
Fomos Dota2 League/Season 3, 
Fomos Dotanism League, 
Fragbite Masters 2013, 
G-1 Champions League Season 4, 
G-1 Champions League Season 5, 
G-League 2012 Season 2, 
G-League 2013, 
GameCom Dota 2 EU Tournament, 
Gamer University Open Qualifier 3, 
GatorLAN Spring 2013, 
GEST 2012, 
GEST Challenge 2012, 
GEST Challenge Season 1 July, 
GEST Challenge Season 1 March, 
GEST Challenge Season 1 September, 
GEST Season 1 April, 
GEST Season 1 August, 
GEST Season 1 February, 
GEST Season 1 July, 
GEST Season 1 June, 
GEST Season 1 March, 
GEST Season 1 May, 
GEST Season 1 September, 
Gigabyte Dota 2 Masters, 
Gigabyte Dota 2 Summer Cup, 
